84,AKSES BTS JAGAWANA SUKATANI CIKARANG,https://strava.app.link/24e79H5UzEb,Tidak ada temuan,Tidak ada,2023-11-09
85,jalur La bts tarkimin,https://strava.app.link/5PFsnz5WzEb,Tidak ada temuan,Tidak ada,2023-11-09
86,AKSES BTS SUKARUKUN SUKATANI CIKARANG,https://strava.app.link/W6ZBA9e1zEb,Tidak ada temuan,Tidak ada,2023-11-09
87,jalur La bts jati jajar SM,https://strava.app.link/luWHFxj1zEb,Tidak ada temuan,Tidak ada,2023-11-09
88,jalur La bts suratman,https://strava.app.link/5eBMqsN3zEb,Tidak ada temuan,Tidak ada,2023-11-09
89,AKSES BTS SUKAASIH 2 CIKARANG,https://strava.app.link/7Kh971Z5zEb,Tidak ada temuan,Tidak ada,2023-11-09
90,AKSES BTS SUKAASIH 1 CIKARANG,https://strava.app.link/gMqvVqR8zEb,Tidak ada temuan,Tidak ada,2023-11-09
91,Jalur DWDM HHR-DCI,https://strava.app.link/n8P5EjytBEb,Ada pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-09
92,Jalur DWDM TBS-DCI,https://strava.app.link/ZIt27VmeBEb,Tidak ada temuan,Tidak ada,2023-11-09
93,XCC Bangbarung - SCC,https://strava.app.link/7If9d9ptBEb,Tidak ada temuan,Tidak ada,2023-11-10
94,BTS CBN DUDU,https://strava.app.link/p3hHQinCBEb,Tidak ada temuan,Tidak ada,2023-11-10
95,BTS Sirkuit Sentul,https://strava.app.link/9O9KUFIFBEb,Tidak ada temuan,Tidak ada,2023-11-10
96,BTS Kp Gudang Citeureup,https://strava.app.link/iDTCiISKBEb,Tidak ada temuan,Tidak ada,2023-11-10
97,Jalur DWDM HHR-DCI,https://strava.app.link/oBxySEWeDEb,Tidak ada temuan,Tidak ada,2023-11-10
98,JALUR DWDM KGD - HHR,https://strava.app.link/pqq8rijiDEb,Project galian pom shell JL. Sultan Agung sudah selesai alat berat juga sudah tidak ada di lokasi,Monitoring,2023-11-11
99,Jalur DWDM TBS-DCI,https://strava.app.link/HlaCsiMeDEb,Tidak ada temuan,Tidak ada,2023-11-11
100,Jalur DWDM HHR-DCI,https://strava.app.link/S2PiNhZBFEb,Ada pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-11
101,JALUR DWDM HHR - KGD,https://strava.app.link/ejuHuvIQEEb,Project pom shell sudah selesai dan sudah tidak ada alat berat di lokasi,Monitoring,2023-11-12
102,JALUR DWDM HHR - DCI,https://strava.app.link/b2H2Er8GFEb,Project spam jatiluhur jl hasibuan - Project saluran air warung bongkok Cikarang,Monitoring,2023-11-12
103,jalur La xcc hek_hh tmii,https://strava.app.link/8xuPtXPlGEb,Tidak ada temuan,Tidak ada,2023-11-13
104,jalur LA BB tmi_BMC,https://strava.app.link/NZnQEPqpGEb,Tidak ada temuan,Tidak ada,2023-11-13
105,jalur La bts lisun,https://strava.app.link/Wi2l4ejtGEb,Tidak ada temuan,Tidak ada,2023-11-13
106,JALUR LA GTN,https://strava.app.link/wVHfWMiuGEb,kabel Slackan jatoh dan berantakan pas depan pintu 10 jababeka,sudah selesai perapihan,2023-11-13
107,jalur La bts pondok gede st,https://strava.app.link/ifGUKHtEGEb,Tidak ada temuan,Tidak ada,2023-11-13
108,jalur La bts hankam cilangkap st,https://strava.app.link/RfQZB7WGGEb,Tidak ada temuan,Tidak ada,2023-11-13
109,jalur La bts kranggan st,https://strava.app.link/F7Pt2PnKGEb,Tidak ada temuan,Tidak ada,2023-11-13
110,jalur La bts jambore,https://strava.app.link/f7BViUKNGEb,Tidak ada temuan,Tidak ada,2023-11-13
111,BB GTN - MKR via kalimalang,https://strava.app.link/gNYgGZYRGEb,Tidak ada temuan,Tidak ada,2023-11-13
112,Jalur DWDM HHR-DCI,https://strava.app.link/mMh60o12HEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-13
113,Jalur DWDM TBS-DCI,https://strava.app.link/gD8N1Cz8HEb,Tidak ada temuan,Tidak ada,2023-11-13
114,jalur La akses krisbow,https://strava.app.link/XMM4flv3HEb,Tidak ada temuan,Tidak ada,2023-11-14
115,jalur La akses D_BASF,https://strava.app.link/hGCJ7cy9HEb,Tidak ada temuan,Tidak ada,2023-11-14
116,jalur La odp tugu jam_xcc simpang depok,https://strava.app.link/jxGtQ9CnIEb,Tidak ada temuan,Tidak ada,2023-11-14
117,jalur La diskominfo rawakalong,https://strava.app.link/4NnVVPUqIEb,Tidak ada temuan,Tidak ada,2023-11-14
118,Jalur DWDM TBS-DCI,https://strava.app.link/8dqFyEJOJEb,Tidak ada temuan,Tidak ada,2023-11-14
119,Jalur DWDM HHR-DCI,https://strava.app.link/WB5sjPqMJEb,Tidak ada temuan,Tidak ada,2023-11-14
120,jalur La bts h baping,https://strava.app.link/1olZz1SHJEb,Tidak ada temuan,Tidak ada,2023-11-15
121,jalur La jl raya pkp,https://strava.app.link/XScEHEyLJEb,Tidak ada temuan,Tidak ada,2023-11-15
122,jalur La pekapuran,https://strava.app.link/B2MpEQuXJEb,Tidak ada temuan,Tidak ada,2023-11-15
123,jalur La biznet via pekapuran,https://strava.app.link/H7koxlD2JEb,Tidak ada temuan,Tidak ada,2023-11-15
124,Jalur DWDM HHR-DCI,https://strava.app.link/fqYMcq3rLEb,Tidak ada temuan,Tidak ada,2023-11-15
125,Jalur DWDM TBS-DCI,https://strava.app.link/pOE4vqHxLEb,Tidak ada temuan,Tidak ada,2023-11-15
126,jalur LA bts pitara,https://strava.app.link/iFlG9DoBLEb,Tidak ada temuan,Tidak ada,2023-11-16
127,jalur La bts pasir putih,https://strava.app.link/uggHDAfELEb,Tidak ada temuan,Tidak ada,2023-11-16
128,jalur La bts bombay,https://strava.app.link/TIPxtrAGLEb,Tidak ada temuan,Tidak ada,2023-11-16
129,jalur La bts sawangan,https://strava.app.link/vAcc6W0ILEb,Tidak ada temuan,Tidak ada,2023-11-16
130,jalur La bts marjamsa,https://strava.app.link/J1xTEGELLEb,Tidak ada temuan,Tidak ada,2023-11-16
131,Jalur DWDM HHR-DCI,https://strava.app.link/tpANYKa6MEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-16
132,Jalur DWDM TBS-DCI,https://strava.app.link/DkoD4GLmNEb,Tidak ada temuan,Tidak ada,2023-11-16
133,JALUR DWDM KGD - HHR,https://strava.app.link/dvk55OxPLEb,Tidak ada temuan,Tidak ada,2023-11-16
134,Jalur DWDM HHR-DCI,https://strava.app.link/hpnhcnxrNEb,Ada Pekerjaan SPAM Jatiluhur Jl Hasibuan dan Pekerjaan Saluran Air Warung Bongkok Cikarang,Monitoring,2023-11-17
135,Jalur DWDM TBS-DCI,https://strava.app.link/DkLS2qRuOEb,Tidak ada temuan,Tidak ada,2023-11-17
136,Jalur DWDM HHR-KGD,https://strava.app.link/shyyw0zWOEb,Tidak ada temuan,Tidak ada,2023-11-18
137,Jalur DWDM HHR-DCI,https://strava.app.link/YYIxq2txQEb,Tidak ada temuan,Tidak ada,2023-11-18
138,Jalur DWDM TBS-DCI,https://strava.app.link/slIL2ZXwQEb,Tidak ada temuan,Tidak ada,2023-11-18
139,Jalur DWDM TBS-DCI,https://strava.app.link/n8YqKtddSEb,Tidak ada temuan,Tidak ada,2023-11-19
140,Jalur DWDM HHR-DCI,https://strava.app.link/LZl42g8SREb,Tidak ada temuan,Tidak ada,2023-11-19
141,Jalur DWDM HHR-KGD,https://strava.app.link/oC9O4lmrQEb,Tidak ada temuan,Tidak ada,2023-11-19
142,jalur LA xcc cawang_odp cililitan,https://strava.app.link/dXoiWez0REb,Tidak ada temuan,Tidak ada,2023-11-20
143,jalur La bank DKI,https://strava.app.link/EtV3myQ5REb,Tidak ada temuan,Tidak ada,2023-11-20
144,Akses Diskominfo PSDA,https://strava.app.link/oIDq1Kq7REb,Tidak ada temuan,Tidak ada,2023-11-20
145,jalur LA danamon condet,https://strava.app.link/HPkFjEkdSEb,Tidak ada temuan,Tidak ada,2023-11-20
146,Akses Bank Sinarmas,https://strava.app.link/YgCiNgJdSEb,Tidak ada temuan,Tidak ada,2023-11-20
147,jalur LA bts baru zambrut,https://strava.app.link/LEBidikfSEb,Tidak ada temuan,Tidak ada,2023-11-20
148,Akses Sharp,https://strava.app.link/3RbIQXZgSEb,Tidak ada temuan,Tidak ada,2023-11-20
149,jalur La bts balekambang,https://strava.app.link/VQbctSThSEb,Tidak ada temuan,Tidak ada,2023-11-20
150,Jalur DWDM HHR-KGD,https://strava.app.link/asz1KgUhSEb,Tidak ada temuan,Tidak ada,2023-11-20
151,jalur La bts Tengah raya,https://strava.app.link/qBUr2kLkSEb,Tidak ada temuan,Tidak ada,2023-11-20
152,XCC Bangbarung - HH depan ekalos,https://strava.app.link/LBcwDoRmSEb,Tidak ada temuan,Tidak ada,2023-11-20
153,jalur LA bts bulak rantai,https://strava.app.link/Tb68LrAnSEb,Tidak ada temuan,Tidak ada,2023-11-20
154,Jalur DWDM HHR-DCI,https://strava.app.link/Ep22o9JBTEb,Tidak ada temuan,Tidak ada,2023-11-20
155,Jalur DWDM TBS-DCI,https://strava.app.link/QFBWMDbQTEb,Tidak ada temuan,Tidak ada,2023-11-20
156,Jalur BB Tegar Beriman,https://strava.app.link/d2Ey3VQRTEb,Tidak ada temuan,Tidak ada,2023-11-21
157,jalur LA pekapuran,https://strava.app.link/62iytuHSTEb,Tidak ada temuan,Tidak ada,2023-11-21
158,jalur La bts sukatani,https://strava.app.link/v4fyxPhVTEb,Tidak ada temuan,Tidak ada,2023-11-21
159,Akses Polres Cibinong,https://strava.app.link/zVyAnvFVTEb,Tidak ada temuan,Tidak ada,2023-11-21
160,jalur La bts tunas karya,https://strava.app.link/uAZiBA0XTEb,Tidak ada temuan,Tidak ada,2023-11-21
161,Akses Bank BJB Cibinong,https://strava.app.link/LakVt4e1TEb,Tidak ada temuan,Tidak ada,2023-11-21
162,jalur La Bi cilangkap,https://strava.app.link/op2gKKz1TEb,Tidak ada temuan,Tidak ada,2023-11-21
